2026/02/17 15:26:07.472, 1, NVIDIA GeForce GTX 1060 6GB, 92 %, 70 %, 4799 MiB, 119.71 W, 71, P2
2026/02/17 15:26:08.474, 0, NVIDIA GeForce GTX 1060, 0 %, 0 %, 4871 MiB, 30.46 W, 60, P2
2026/02/17 15:26:08.476, 1, NVIDIA GeForce GTX 1060 6GB, 88 %, 68 %, 4799 MiB, 37.22 W, 71, P2
2026/02/17 15:26:09.478, 0, NVIDIA GeForce GTX 1060, 0 %, 0 %, 4871 MiB, 30.30 W, 59, P2
2026/02/17 15:26:09.481, 1, NVIDIA GeForce GTX 1060 6GB, 93 %, 70 %, 4799 MiB, 110.31 W, 71, P2
2026/02/17 15:26:10.483, 0, NVIDIA GeForce GTX 1060, 0 %, 0 %, 4871 MiB, 30.14 W, 59, P2
2026/02/17 15:26:10.485, 1, NVIDIA GeForce GTX 1060 6GB, 93 %, 70 %, 4799 MiB, 108.46 W, 71, P2
2026/02/17 15:26:11.488, 0, NVIDIA GeForce GTX 1060, 0 %, 0 %, 4871 MiB, 30.16 W, 58, P2
2026/02/17 15:26:11.490, 1, NVIDIA GeForce GTX 1060 6GB, 94 %, 71 %, 4799 MiB, 110.14 W, 72, P2
2026/02/17 15:26:12.492, 0, NVIDIA GeForce GTX 1060, 0 %, 0 %, 4871 MiB, 30.15 W, 58, P2
2026/02/17 15:26:12.498, 1, NVIDIA GeForce GTX 1060 6GB, 95 %, 72 %, 4799 MiB, 123.25 W, 72, P2
2026/02/17 15:26:13.510, 0, NVIDIA GeForce GTX 1060, 0 %, 0 %, 4871 MiB, 29.96 W, 58, P2
2026/02/17 15:26:13.512, 1, NVIDIA GeForce GTX 1060 6GB, 94 %, 71 %, 4799 MiB, 125.55 W, 72, P2
2026/02/17 15:26:14.519, 0, NVIDIA GeForce GTX 1060, 0 %, 0 %, 4871 MiB, 30.11 W, 58, P2
